Annee;Pompei;Auschwitz;Tchernobyl;Ground_Zero_NYC;Catacombes_Paris;Namie_Fukushima;Sarajevo_Human_Safari;Syrie;Catacombes_Capucins_Palerme
2015;3505172;1720000;16400;8500000;505085;0;0;450000;210000
2016;3769803;2053000;35100;6500000;512284;0;0;550000;225000
2017;4023900;2100000;46136;6800000;537935;120000;0;1300000;245000
2018;3768164;2152000;71869;6600000;478583;185000;0;2100000;280000
2019;3925616;2320000;124423;6300000;601900;210000;0;2500000;310000
2020;594823;502000;36450;3000000;NA;95000;0;600000;65000
2021;1036380;560000;73086;3500000;NA;110000;0;1200000;90000
2022;3060049;1184000;0;3500000;NA;250000;0;1800000;240000
2023;4079235;1670000;0;11000000;603684;315000;0;2400000;320000
2024;4177753;1830000;12000;11600000;607730;340000;0;3010000;350000
2025;4118926;1950000;18000;11300000;600000;360000;0;4000000;380000
